fiction_id,title,overview,language,release_date,latest_update,tags,genres,chapter
11,Ketika Cinta Bertemu Kekuatan,"Seorang gadis biasa bertemu dengan seorang superhero dalam sebuah kecelakaan. Gadis itu jatuh cinta pada superhero itu, tetapi dia tahu bahwa mereka tidak bisa bersama. Superhero itu harus melindungi kota dari kejahatan, dan gadis itu tidak ingin menghalangi jalannya.",Indonesia,2023-10-07,2023-10-07,"romansa,aksi,pahlawan super,gadis biasa,cinta","romansa,aksi",1
12,Misteri di Balik Pintu Terkunci,"Sekelompok mahasiswa pindah ke sebuah rumah tua untuk melakukan penelitian. Mereka menemukan sebuah pintu terkunci di salah satu kamar, dan mereka memutuskan untuk membukanya. Namun, mereka tidak tahu bahwa di balik pintu itu ada misteri yang mengerikan.",Indonesia,2023-10-02,2023-10-02,"misteri,horor,rumah tua,pintu terkunci","misteri,horor",1
13,Perjalanan Menembus Dimensi,Seorang ilmuwan menemukan cara untuk menembus dimensi lain. Dia mengajak seorang teman untuk melakukan perjalanan bersamanya. Mereka menemukan dunia yang ajaib dan penuh bahaya.,Indonesia,2023-10-03,2023-10-03,"sci-fi,fantasi,perjalanan dimensi","sci-fi,fantasi",1
14,Kisah Cinta di Negeri Dongeng,"Seorang gadis biasa terdampar di negeri dongeng. Dia bertemu dengan seorang pangeran, dan mereka jatuh cinta. Namun, cinta mereka tidak mudah. Mereka harus menghadapi berbagai rintangan untuk bisa bersama.",Indonesia,2023-10-04,2023-10-04,"romansa,fantasi,cinta,putri,pangeran","romansa,fantasi",1
15,Keajaiban Cinta,"Seorang gadis dan seorang cowok saling jatuh cinta, tetapi mereka berasal dari dunia yang berbeda. Gadis itu berasal dari keluarga kaya, sedangkan cowok itu berasal dari keluarga miskin. Mereka harus berjuang untuk bisa bersama.",Indonesia,2023-10-05,2023-10-05,"romansa,drama,cinta sejati,kelas sosial","romansa,drama",1
16,Persahabatan yang Tak Terlupakan,"Empat orang sahabat menjalani kehidupan yang berbeda. Mereka harus menghadapi berbagai tantangan, tetapi persahabatan mereka tetap kuat.",Indonesia,2023-10-09,2023-10-09,"persahabatan,drama",drama,1
17,Cahaya di Dalam Gelap,"Seorang remaja berjuang untuk menemukan jati dirinya. Dia harus menghadapi berbagai masalah, termasuk masalah keluarga, teman, dan sekolah.",Indonesia,2023-10-07,2023-10-07,"drama,kesehatan,penyakit,kemenangan,harapan",drama,1
18,Petualangan di Negeri Ajaib,"Seorang atlet berjuang untuk mencapai mimpinya. Dia harus menghadapi berbagai rintangan, termasuk cedera, tekanan keluarga, dan persaingan.",Indonesia,2023-10-08,2023-10-08,"aksi, petualangan,fantasi,penemuan","aksi,petualangan,fantasi",1
19,Kisah Seram di Sekolah Tua,Seorang gadis jatuh cinta pada pria yang sudah menikah. Dia harus memilih antara cintanya dan kebahagiaannya.,Indonesia,2023-10-09,2023-10-09,"horor,misteri,sekolah,angker","misteri,horor",1
20,Kisah Hidup yang Penuh Makna,"Seorang orang biasa menjalani kehidupan yang sederhana. Dia belajar banyak hal tentang kehidupan, dan dia menemukan makna hidup.",Indonesia,2023-10-09,2023-10-09,"drama,kisah hidup,refleksi diri",drama,1
21,Pangeran Kelam,"Seorang pangeran muda yang jahat dan kejam, tiba-tiba berubah menjadi sosok yang baik hati dan lembut.",Indonesia,2023-10-08,2023-10-08,"pangeran jahat,romansa,fantasi","romansa,fantasi",1
22,Ratu Badai,"Seorang ratu yang sakti, harus menghadapi tantangan baru untuk menyelamatkan kerajaannya.",Indonesia,2023-10-09,2023-10-09,"ratu,sakti,petualangan,fantasi","fantasi,petualangan",1
23,Sang Prajurit yang Hilang,"Seorang prajurit yang pemberani, harus mencari jalan pulang ke kampung halamannya.",Indonesia,2023-10-10,2023-10-10,"prajurit,pemberani,petualangan,fantasi","petualangan,fantasi",1
24,Perjalanan Cinta di Negeri Dongeng,"Dua orang dari dunia yang berbeda, bertemu dan saling jatuh cinta.",Indonesia,2023-10-07,2023-10-07,"cinta,dunia paralel,fantasi,romance","romansa,fantasi",1
25,Kisah Cinta di Masa Lalu,"Dua orang dari masa lalu, bertemu kembali dan melanjutkan kisah cinta mereka.",Indonesia,2023-10-02,2023-10-02,"cinta,masa lalu,romansa,fantasi","romansa,fantasi",1
26,Pertemuan yang Tak Terduga,"Seorang gadis biasa bernama Anya bertemu dengan seorang pria misterius bernama Bima dalam sebuah kecelakaan. Mereka berdua langsung jatuh cinta, tetapi hubungan mereka harus menghadapi berbagai rintangan.",Indonesia,2023-10-09,2023-10-09,"romansa,drama,fiksi remaja","drama,romansa",1
27,Petualangan di Dunia Fantasi,"Dua sahabat, Andi dan Budi, menemukan portal misterius yang membawa mereka ke dunia fantasi. Mereka berdua harus bekerja sama untuk bertahan hidup dan menemukan jalan pulang.",Indonesia,2023-10-07,2023-10-07,"petualanga,aksi","petualangan,fantasi",1
28,Kisah Cinta di Tengah Perang,Dua orang dari dua kubu yang berbeda saling jatuh cinta. Mereka harus berjuang untuk mempertahankan cinta mereka di tengah perang yang sedang berkecamuk.,Indonesia,2023-10-08,2023-10-08,"romansa,perang,sejarah",romansa,1
29,Pengembaraan di Masa Lalu,Seorang gadis bernama Caca menemukan sebuah mesin waktu yang membawanya ke masa lalu. Dia bertemu dengan nenek moyangnya dan mempelajari tentang sejarah keluarganya.,Indonesia,2023-10-09,2023-10-09,"drama keluarga,sci-fi,perjalanan waktu","drama,sci-fi",1
30,Misteri di Sebuah Sekolah,Sekelompok siswa SMA menemukan sebuah rahasia yang mengerikan di sekolah mereka. Mereka harus memecahkan misteri tersebut sebelum terlambat.,Indonesia,2023-10-09,2023-10-09,"misteri,horor,kehidupan sekolah","horor,misteri",1
31,Petualangan di Dunia Bawah Laut,Seorang anak laki-laki bernama Dimas bertemu dengan seorang putri duyung bernama Ariel. Mereka berdua bekerja sama untuk menyelamatkan dunia bawah laut.,Indonesia,2023-10-08,2023-10-08,"fantasi anak,petualangan","petualangan,fantasi",1
32,Kisah Cinta di Dunia Musik,"Dua musisi muda, Rara dan Dimas, saling jatuh cinta. Mereka harus berjuang untuk mewujudkan mimpi mereka di dunia musik sambil mempertahankan cinta mereka.",Indonesia,2023-10-09,2023-10-09,"romansa,musik",romansa,1
33,Perjuangan Seorang Atlet,"Seorang atlet muda bernama Andi harus berjuang untuk mencapai impiannya untuk menjadi juara dunia. Dia harus menghadapi berbagai tantangan, baik dari dalam maupun luar.",Indonesia,2023-10-10,2023-10-10,"drama,olahraga",drama,1
34,Satu Malam yang Tak Terlupakan,"Di sebuah kota kecil di Indonesia, ada seorang gadis bernama Anya yang bercita-cita menjadi penulis. Suatu hari, Anya bertemu dengan seorang pria misterius bernama Bima di sebuah kafe. Anya dan Bima langsung merasa cocok satu sama lain, dan mereka menghabiskan malam yang tak terlupakan bersama.",Indonesia,2023-11-02,2023-11-02,"romansa,cinta pertama","romansa,drama,komedi",1
35,Cinta di Balik Layar,"Dua orang aktor yang sedang syuting sebuah film jatuh cinta satu sama lain. Namun, mereka harus merahasiakan hubungan mereka karena takut akan merusak karier mereka.",Indonesia,2023-11-03,2023-11-03,"romansa,drama,cinta rahasia","romansa,drama",1
36,Misteri di Sekolah Tua,"Seorang siswa SMA pindahan ke sekolah tua yang terkenal angker. Dia mulai mengalami hal-hal aneh, dan dia yakin bahwa ada sesuatu yang tersembunyi di sekolah itu.",Indonesia,2023-11-04,2023-11-04,"horor,misteri,sekolah,hantu",horor,1
37,Petualangan di Fantasia,Seorang gadis muda menemukan portal ke dunia fantasi. Dia bertemu dengan makhluk-makhluk ajaib dan memulai petualangan yang tak terlupakan.,Indonesia,2023-11-05,2023-11-05,"fantasi,misteri,petualangan,sihir","fantasi,petualangan",1
38,Kisah Cinta Segitiga,"Tiga orang sahabat saling jatuh cinta satu sama lain. Namun, mereka tidak berani mengungkapkan perasaan mereka karena takut akan merusak persahabatan mereka.",Indonesia,2023-11-06,2023-11-06,"romansa,drama,persahabatan","romansa,drama,komedi",1
39,Pangeran yang Tertukar,Seorang gadis muda menemukan pangeran yang tertukar. Dia membantu pangeran untuk kembali ke kerajaannya dan menemukan cinta sejatinya.,Indonesia,2023-11-07,2023-11-07,"romansa,petualangan,misteri","romansa,petualangan,aksi",1
40,Pertarungan Akhir,Dua kekuatan jahat bertarung untuk menguasai dunia. Seorang pahlawan muda harus menghentikan mereka sebelum semuanya terlambat.,Indonesia,2023-11-08,2023-11-08,"aksi,petualangan,drama","aksi,petualangan",1
41,Petualangan di Luar Angkasa,Seorang astronot muda melakukan perjalanan ke planet asing. Dia bertemu dengan alien dan memulai petualangan yang luar biasa.,Indonesia,2023-11-09,2023-11-09,"sci-fi,petualangan,galaksi,astronot","sci-fi,petualangan",1
42,Cinta Sejati,Dua orang yang berbeda latar belakang dan kepribadian jatuh cinta satu sama lain. Mereka harus berjuang untuk cinta mereka di tengah berbagai rintangan.,Indonesia,2023-11-10,2023-11-10,"romansa,drama","drama,romansa",1
43,Ava di Isekai,Seorang gadis muda meninggal dalam kecelakaan. Dia menemukan dirinya di dunia lain dan harus mencari cara untuk kembali ke dunianya.,Indonesia,2023-11-11,2023-11-11,"fantasi,drama,dunia lain,petualangan,aksi,komedi","drama,fantasi,petualangan,aksi,komedi",1
44,Cinta Dua Dunia,"Seorang gadis muda menemukan portal ke dunia lain. Dia bertemu dengan seorang pria dari dunia itu dan mereka jatuh cinta. Namun, cinta mereka tidak mudah karena mereka berasal dari dunia yang berbeda.",Indonesia,2023-11-06,2023-11-06,"romansa,fantasi","romansa,fantasi,petualangan",1
45,Kota yang Hilang,Seorang pemuda menemukan kota yang hilang di dalam hutan. Dia bertemu dengan penduduk kota itu dan mereka memintanya untuk membantu mereka menemukan kembali jalan mereka ke dunia nyata.,Indonesia,2023-11-13,2023-11-13,"fantasi,petualangan,misteri,kota hilang","petualangan,fantasi,misteri",1
46,Rahasia Pulau Terpencil,Seorang gadis muda terdampar di sebuah pulau terpencil. Dia menemukan bahwa pulau itu memiliki rahasia yang mengerikan.,Indonesia,2023-11-13,2023-11-14,"horor,misteri,kejahatan","horor,misteri",2
47,Petualangan Mencari Mahkota Suci,Seorang pangeran muda harus melakukan perjalanan berbahaya untuk menemukan mahkota suci yang hilang. Dia ditemani oleh seorang putri dari kerajaan tetangga dan mereka harus bekerja sama untuk menyelesaikan misi mereka.,Indonesia,2023-11-15,2023-11-15,"kerajaan,mahkhota,putri,pangeran","petualangan,romansa,aksi",1
48,Ninja vs Samurai,Dua kelompok ninja dan samurai yang bermusuhan harus bekerja sama untuk melawan musuh yang lebih besar.,Indonesia,2023-11-16,2023-11-16,"ninja,samurai,jepang,senjata,aksi",aksi,1
49,Detektif Pemburu Hantu,Seorang detektif muda yang skeptis tentang hal-hal supranatural harus bekerja sama dengan seorang paranormal untuk memecahkan kasus pembunuhan yang melibatkan hantu.,Indonesia,2023-11-17,2023-11-17,"detektif,kejahatan,teka-teki,hantu","misteri,horor",1
50,Perjalanan ke Dunia Bawah,Seorang gadis muda yang penasaran dengan dunia bawah tanah melakukan perjalanan ke neraka dan surga. Dia bertemu dengan berbagai makhluk mitos dan belajar tentang rahasia alam semesta.,Indonesia,2023-11-18,2023-11-18,"mitologi,fantasi,dunia lain","fantasi,petualangan",1
51,Penyelamatan Planet Bumi,Seorang ilmuwan muda menemukan cara untuk menyelamatkan planet Bumi dari bencana yang akan datang. Dia harus bekerja sama dengan para ilmuwan lain dari seluruh dunia untuk melaksanakan misinya.,Indonesia,2023-11-19,2023-11-19,"kiamat,planet,ilmu pengetahuan",sci-fi,1
52,Mimpi,Seorang gadis muda yang selalu bermimpi menjadi seorang penulis akhirnya berhasil mewujudkan mimpinya. Dia menerbitkan novel pertamanya dan menjadi terkenal.,Indonesia,2023-11-20,2023-11-20,"karir,penulis,mimpi,romansa","slice of life,romansa",1
53,The Last Dragon,"Di sebuah dunia yang dikuasai oleh penyihir jahat, ada seekor naga terakhir yang masih hidup. Naga itu harus menemukan cara untuk mengalahkan penyihir jahat dan menyelamatkan dunia.",Indonesia,2023-11-21,2023-11-22,"naga,penyihir,fantasi,aksi","aksi,fantasi",2
54,Kehidupanku sebagai AI,"Seorang gadis muda yang cerdas menemukan cara untuk mengupload kesadarannya ke komputer. Dia hidup sebagai AI di dunia digital, dan dia harus belajar untuk beradaptasi dengan kehidupan barunya.",Indonesia,2023-11-22,2023-11-22,"petualangan,ai,digital,komputer","sci-fi,petualangan",1
55,Perjalanan ke Masa Lalu,Seorang siswa SMA menemukan mesin waktu. Dia menggunakan mesin waktu untuk melakukan perjalanan ke masa lalu dan mengubah sejarah.,Indonesia,2023-11-23,2023-11-23,"mesin waktu,sekolah,sejarah","sci-fi,petualangan",1
56,Dunia Tanpa Gender,"Di sebuah dunia yang ideal, tidak ada gender. Semua orang diperlakukan sama, tidak peduli apa jenis kelamin mereka.",Indonesia,2023-11-24,2023-11-27,"sosial,kesetaraan gender,dunia lain,drama",drama,1
57,Dunia yang Dihuni oleh Hewan,"Di sebuah dunia yang aneh, manusia hidup berdampingan dengan hewan. Hewan-hewan itu memiliki kemampuan yang sama dengan manusia, dan mereka hidup bersama dalam damai.",Indonesia,2023-11-25,2023-11-25,"dunia lain,hewan,fantasi","fantasi,slice of life",3
58,Hidup di Mars,Sekelompok manusia dikirim ke Mars untuk memulai koloni baru. Mereka harus belajar untuk beradaptasi dengan kehidupan di planet yang asing.,Indonesia,2023-11-26,2023-11-27,"sci-fi,petualangan,mars,galaksi",sci-fi,2
59,Pertempuran Terakhir,"Pertempuran epik antara kekuatan jahat yang haus kekuasaan dan satu-satunya kekuatan yang berani melawan mereka. Alam semesta ini terancam oleh pertempuran terakhir ini, dan nasibnya akan ditentukan oleh hasilnya.",Indonesia,2023-11-27,2023-11-27,"aksi,kiamat",aksi,1
60,Cinta Terlarang,"Dua orang yang berasal dari dunia yang berbeda jatuh cinta. Namun, cinta mereka dilarang oleh kedua dunia itu.",Indonesia,2023-11-28,2023-11-28,"cinta terlarang,cinta","drama,romansa",1
61,Kisah Nyata,"Ini adalah kisah nyata tentang seseorang yang mengalami hal-hal luar biasa. Kisah ini didasarkan pada peristiwa nyata, dan ini akan membuat Anda berpikir ulang tentang dunia di sekitar Anda.",Indonesia,2023-11-29,2023-11-29,"non-fiksi, motivasi",non-fiksi,1
62,Perjalanan Spiritual,"Seorang pria muda memulai perjalanan spiritual untuk menemukan makna hidup. Dia bertemu dengan berbagai orang dan mengalami berbagai hal, dan dia belajar banyak tentang dirinya sendiri.",Indonesia,2023-11-30,2023-11-30,"kesehatan mental,self-help,spiritual","spiritual,kesehatan",1
63,Ksatria Tanpa Pedang,"Seorang ksatria muda yang tidak memiliki pedang harus menemukan cara untuk mengalahkan musuh-musuhnya. Dia belajar bahwa kekuatan sejati tidak terletak pada senjata, tetapi di dalam hati.",Indonesia,2023-06-01,2023-06-01,"ksatria,kerajaan,petualangan","petualangan,fantasi",1
64,Sihir Cinta,"Seorang penyihir muda jatuh cinta dengan seorang gadis biasa. Dia menggunakan sihirnya untuk membantu gadis itu, tetapi dia harus berhati-hati agar sihirnya tidak disalahgunakan.",Indonesia,2023-06-02,2023-06-02,"sihir,romansa,penyihir","romansa,fantasi",1
65,Sekolah Superhero,"Di sebuah sekolah yang unik, para siswa belajar untuk menjadi superhero. Mereka belajar berbagai kekuatan dan kemampuan, dan mereka harus bekerja sama untuk melawan penjahat.",Indonesia,2023-06-03,2023-06-03,"pahlawan,fiksi,fantasi,sekolah","fantasi,slice of life",1
66,AventuraRealm,"Seorang gamer muda terperangkap di dalam dunia game. Dia harus menyelesaikan game tersebut untuk kembali ke dunia nyata, tetapi dia tidak sendirian. Dia bertemu dengan gamer lain yang juga terperangkap di dalam game tersebut.",Indonesia,2023-06-04,2023-06-04,"game,dunia lain,petualangan","petualangan,fantasi",1
67,Detektif Hewan,"Seekor anjing detektif yang cerdas dan rekannya, seekor kucing, bekerja sama untuk memecahkan kasus-kasus kejahatan. Mereka menggunakan keterampilan dan kemampuan unik mereka untuk mengungkap kebenaran.",Indonesia,2023-06-05,2023-06-05,"hewan,misteri,detektif,teka-teki","misteri,slice of life",1
68,Alien di Bumi,"Seorang alien mendarat di Bumi dan bertemu dengan seorang gadis muda. Gadis itu membantu alien untuk beradaptasi dengan kehidupan di Bumi, dan mereka menjadi teman baik.",Indonesia,2023-06-06,2023-06-06,"alien,persahabatan,sci-fi,slice of life","sci-fi,slice of life",1
69,Robot Impian,"Seorang ilmuwan muda menciptakan robot yang sempurna. Robot itu memiliki kemampuan untuk berpikir dan merasakan seperti manusia. Namun, robot itu juga memiliki keinginan dan kebutuhannya sendiri.",Indonesia,2023-06-07,2023-06-07,"robot,ilmuwan,drama","sci-fi,drama",1
70,Keajaiban Natal,"Di malam Natal, seorang gadis muda mengalami keajaiban. Dia bertemu dengan Sinterklas dan para elfnya, dan dia membantu mereka untuk mengirimkan hadiah kepada semua anak di dunia.",Indonesia,2023-06-08,2023-06-08,"fantasi,liburan,sinterklas,elf,dunia lain","fantasi,petualangan",1
71,Resolusi Tahun Baru,"Seorang pemuda memutuskan untuk membuat resolusi Tahun Baru untuk menjadi lebih baik. Dia menghadapi berbagai tantangan, tetapi dia tidak menyerah. Pada akhirnya, dia berhasil mencapai tujuannya dan menjadi orang yang lebih baik.",Indonesia,2023-06-09,2023-06-09,"self-help,spiritual,kehidupan","slice of life,spiritual",1
72,Simalakama,"Seorang gadis muda jatuh cinta dengan dua orang pria. Dia harus memilih salah satu dari mereka, tetapi dia tidak tahu siapa yang harus dipilih.",Indonesia,2023-06-11,2023-06-11,"indonesia,romansa,drama",romansa,1
73,Hutan Gigantomachia,"Seorang sekelompok teman melakukan perjalanan ke hutan. Mereka menemukan berbagai hal yang tidak terduga, dan mereka harus bekerja sama untuk bertahan hidup.",Indonesia,2023-06-06,2023-06-06,"hutan,persahabatan,petualangan",petualangan,1
74,Diponegoro,"Ini adalah cerita nyata tentang seseorang yang melakukan hal-hal luar biasa. Kisah ini didasarkan pada peristiwa nyata, dan ini akan menginspirasi Anda.",Indonesia,2023-06-13,2023-06-13,"non-fiksi,motivasi",non-fiksi,1
75,Kehidupan di Masa Depan,"Ruby hidup di dunia penuh perang dan konflik, memimpikan kehidupan di masa depan. Dia membayangkan dunia yang penuh dengan kedamaian dan kemakmuran.",Indonesia,2023-06-14,2023-06-14,"sci-fi,drama",sci-fi,1
76,Menemukan aku,"Fiersa, seorang pria muda memulai perjalanan spiritual untuk menemukan makna hidup. Dia bertemu dengan berbagai orang dan mengalami berbagai hal, dan dia belajar banyak tentang dirinya sendiri.",Indonesia,2023-06-15,2023-06-15,"self-help,spiritual,petualangan","spiritual,kesehatan,petualangan,slice of life",1
77,Destiny,"Seorang gadis muda dan seorang pria muda jatuh cinta satu sama lain, tetapi cinta mereka diuji oleh berbagai rintangan. Mereka harus berjuang untuk cinta mereka dan menemukan jalan untuk bersama.",Indonesia,2023-06-16,2023-06-16,"cinta,drama","romansa,drama",1
78,Negeri Orion,Seorang gadis muda menemukan portal ke dunia fantasi. Dia bertemu dengan makhluk-makhluk ajaib dan mengalami berbagai petualangan.,Indonesia,2023-06-17,2023-06-17,"dunia lain,hewan,fantasi,petualangan","fantasi,petualangan",1
79,Pembunuhan Villa Kasturi,Seorang detektif muda menyelidiki kasus pembunuhan yang misterius. Dia harus menggunakan keterampilan dan kemampuannya untuk memecahkan kasus tersebut.,Indonesia,2023-06-18,2023-06-18,"detektif,kejahatan,teka-teki,misteri,pembunuhan",misteri,1
80,Komedi Asik,"Seorang pria muda dan seorang wanita muda bertemu dan jatuh cinta. Mereka mengalami berbagai hal lucu bersama, dan mereka belajar banyak tentang diri mereka sendiri.",Indonesia,2023-06-19,2023-06-19,"komedi,cinta,kehidupan","komedi,romansa,slice of life",1
81,Chef Love,"Roger, koki muda yang jatuh cinta dengan seorang pelanggannya. Mereka harus berjuang untuk cinta mereka karena perbedaan status sosial.",Indonesia,2023-06-29,2023-06-29,"koki,masak,cinta,drama","romansa,drama",1
82,Duel Links,"Justin, gamer muda terperangkap di dalam dunia game. Dia harus menyelesaikan game tersebut untuk kembali ke dunia nyata, tetapi dia tidak sendirian. Dia bertemu dengan gamer lain yang juga terperangkap di dalam game tersebut.",Indonesia,2023-06-30,2023-06-30,"game,petualangan,dunia lain","fantasi,petualangan",1
83,Cerita Mahasiswa,"Kacuk, seorang mahasiswa baru memulai kehidupan barunya di kampus. Dia bertemu dengan berbagai orang dan mengalami berbagai hal. Dia belajar untuk mandiri dan bertanggung jawab.",Indonesia,2023-01-01,2023-01-01,"sekolah,self-help,mahasiswa",slice of life,1
84,Aku dan Bali,Seorang pemuda melakukan perjalanan spiritual ke Bali untuk menemukan makna hidup. Dia bertemu dengan berbagai orang dan mengalami berbagai hal. Dia belajar untuk melepaskan ego dan menemukan kedamaian batin.,Indonesia,2023-01-02,2023-01-02,"indonesia,self-help,spiritual,wisata","spiritual,petualangan",1
85,Unordinary Love,"Rama dan Ginny saling jatuh cinta, tetapi cinta mereka diuji oleh berbagai rintangan. Mereka harus berjuang untuk cinta mereka dan menemukan jalan untuk bersama.",Indonesia,2023-01-03,2023-01-03,"drama,cinta","drama,romansa",1
86,Lemari Kakek,Susan menemukan dunia fantasi yang tersembunyi di balik pintu lemari. Dia bertemu dengan berbagai makhluk ajaib dan mengalami berbagai petualangan yang menyenangkan.,Indonesia,2023-01-04,2023-01-04,"dunia lain,fantasi,petualangan","fantasi,petualangan",1
87,Murders,"Alekey menyelidiki kasus pembunuhan yang misterius. Dia menemukan berbagai rahasia dan kebohongan, dan dia harus mengungkap kebenaran yang mengerikan.",Indonesia,2023-01-05,2023-01-05,"detektif,misteri,kejahatan,pembunuhan",misteri,1
88,Jangan Kau Lagi,"Seorang pria muda dan seorang wanita muda yang sama sekali tidak cocok satu sama lain dipaksa untuk bekerja sama dalam sebuah proyek. Mereka mengalami berbagai hal lucu bersama, dan mereka belajar untuk memahami satu sama lain.",Indonesia,2023-01-06,2023-01-06,"komedi,cinta,kehidupan","komedi,romansa,slice of life",1
89,Takdir Kita,"Dua orang yang tidak pernah bertemu sebelumnya, ternyata ditakdirkan untuk bersama. Mereka bertemu secara tidak sengaja, dan mereka jatuh cinta pada pandangan pertama.",Indonesia,2023-01-07,2023-01-07,"cinta pertama,takdir,cinta",romansa,1
90,Atlantea,Aruam menemukan portal ke dunia bawah laut. Dia bertemu dengan berbagai makhluk laut dan mengalami berbagai petualangan yang luar biasa.,Indonesia,2023-01-08,2023-01-08,"laut,dunia lain,hewan,petualangan","fantasi,petualangan",1
91,Imam Bonjol,"Ini adalah cerita nyata tentang seorang pahlawan yang menyelamatkan dunia. Kisah ini didasarkan pada peristiwa nyata, dan ini akan menginspirasi Anda.",Indonesia,2023-01-09,2023-01-09,"pahlawan,nonfiksi,perjuangan,kisah nyata",non-fiksi,1
92,Kembali ke Masa Depan,"Andika menciptakan mesin waktu dan menjelajahi waktu, bertemu dengan seorang anak yang terjebak di garis waktu yang salah",Indonesia,2023-01-10,2023-01-10,"mimpi,perjalanan waktu,sci-fi",sci-fi,1
93,Mbah Petruk,"Sam mendaki Gunung Merapi untuk menemukan makna hidup. Dia menghadapi berbagai tantangan, tetapi dia tidak menyerah. Pada akhirnya, dia berhasil mencapai puncak Merapi dan menemukan apa yang dia cari.",Indonesia,2023-01-11,2023-01-11,"spiritual,self-help,petualangan","spiritual,kesehatan",1
94,Uncoditional Love,"Gino dan Maya bertemu secara tidak sengaja dan jatuh cinta. Mereka mengalami berbagai hal bersama, dan mereka belajar banyak tentang cinta.",Indonesia,2023-01-06,2023-01-06,"cinta pertama,cinta,drama","romansa,drama",1
95,Portal Paralel,Jessie menemukan portal ke dunia paralel. Dia bertemu dengan berbagai makhluk jahat dan harus berjuang untuk bertahan hidup.,Indonesia,2023-01-13,2023-01-13,"dunia lain,fantasi,kejahatan,petualangan","fantasi,petualangan",1
96,Siapa pelakunya,"Lee, seorang detektif muda menyelidiki kasus pembunuhan yang misterius. Dia menemukan berbagai rahasia dan kebohongan, dan dia harus mengungkap kebenaran.",Indonesia,2023-01-14,2023-01-14,"detektif,misteri,teka-teki,drama","misteri,drama",1
97,Humor di Kantor,"Agnes dan Prabu, dua karyawan di kantor yang sama terlibat dalam berbagai situasi lucu. Mereka belajar untuk bekerja sama dan menjadi teman baik.",Indonesia,2023-01-16,2023-01-16,"persahabatan,komedi,kantor,pekerjaan","komedi,slice of life",1
98,Boris dan Juki,Dua orang yang sangat berbeda berteman satu sama lain. Mereka belajar untuk keluar dari zona nyaman mereka dan menikmati hidup.,Indonesia,2023-01-17,2023-01-17,"persahabatan,komedi,self-care","komedi,slice of life",1
